id,natural_language,sql_query
644,Show me the email of employees where name is greater than Chad Owens,SELECT email FROM users WHERE name > 'Chad Owens';
645,"Show me the age, department, position of employees where name is not equal to Justin Ross","SELECT age, department, position FROM users WHERE name != 'Justin Ross';"
646,Show me the position of employees where department is greater than Finance,SELECT position FROM users WHERE department > 'Finance';
647,"Show me the salary, age of employees where position is less than Engineer","SELECT salary, age FROM users WHERE position < 'Engineer';"
648,Show me the department of employees where name is after Russell Jones,SELECT department FROM users WHERE name > 'Russell Jones';
649,"Show me the department, name, age, email of employees where salary is not equal to 117384","SELECT department, name, age, email FROM users WHERE salary != 117384;"
650,Show me the department of employees where department is greater than IT Support,SELECT department FROM users WHERE department > 'IT Support';
651,"Show me the hire_date, department, age of employees where email is after William Garcia","SELECT hire_date, department, age FROM users WHERE email > 'William Garcia';"
652,"Show me the hire_date, department, position, name of employees where name is less than Jill Mayer","SELECT hire_date, department, position, name FROM users WHERE name < 'Jill Mayer';"
653,Show me the name of employees where hire_date is after 2022-07-02,SELECT name FROM users WHERE hire_date > '2022-07-02';
654,Show me the position of employees where salary is before 77679,SELECT position FROM users WHERE salary < 77679;
655,"Show me the age, email, position of employees where age is before 39","SELECT age, email, position FROM users WHERE age < 39;"
656,"Show me the position, department, name, email of employees where name is before Nathan Fletcher","SELECT position, department, name, email FROM users WHERE name < 'Nathan Fletcher';"
657,"Show me the salary, name, position of employees where email is less than Theodore Blair","SELECT salary, name, position FROM users WHERE email < 'Theodore Blair';"
658,"Show me the email, age, hire_date of employees where age is greater than 54","SELECT email, age, hire_date FROM users WHERE age > 54;"
659,"Show me the position, name of employees where name is after Cynthia Sanchez","SELECT position, name FROM users WHERE name > 'Cynthia Sanchez';"
660,"Show me the salary, department, hire_date, position of employees where position is greater than Director","SELECT salary, department, hire_date, position FROM users WHERE position > 'Director';"
661,"Show me the position, hire_date, name, department of employees where position is less than Coordinator","SELECT position, hire_date, name, department FROM users WHERE position < 'Coordinator';"
662,Show me the hire_date of employees where hire_date is less than 2016-11-11,SELECT hire_date FROM users WHERE hire_date < '2016-11-11';
663,Show me the salary of employees where department is after Marketing,SELECT salary FROM users WHERE department > 'Marketing';
664,Show me the name of employees where salary is greater than 145199,SELECT name FROM users WHERE salary > 145199;
665,"Show me the email, salary of employees where name is equal to Daniel Anderson","SELECT email, salary FROM users WHERE name = 'Daniel Anderson';"
666,"Show me the salary, age of employees where position is greater than Director","SELECT salary, age FROM users WHERE position > 'Director';"
667,Show me the name of employees where hire_date is before 2019-12-30,SELECT name FROM users WHERE hire_date < '2019-12-30';
668,"Show me the department, email of employees where age is not equal to 54","SELECT department, email FROM users WHERE age != 54;"
669,"Show me the position, age, salary of employees where salary is less than 108394","SELECT position, age, salary FROM users WHERE salary < 108394;"
670,"Show me the department, hire_date, name of employees where position is after Specialist","SELECT department, hire_date, name FROM users WHERE position > 'Specialist';"
671,"Show me the age, salary, name of employees where position is greater than Manager","SELECT age, salary, name FROM users WHERE position > 'Manager';"
672,"Show me the hire_date, age, email of employees where name is greater than Elizabeth Paul","SELECT hire_date, age, email FROM users WHERE name > 'Elizabeth Paul';"
673,Show me the hire_date of employees where hire_date is less than 2017-06-18,SELECT hire_date FROM users WHERE hire_date < '2017-06-18';
674,Show me the salary of employees where hire_date is greater than 2025-01-13,SELECT salary FROM users WHERE hire_date > '2025-01-13';
675,"Show me the age, hire_date, position, name of employees where age is not equal to 52","SELECT age, hire_date, position, name FROM users WHERE age != 52;"
676,"Show me the hire_date, name, position of employees where name is equal to Johnathan Long","SELECT hire_date, name, position FROM users WHERE name = 'Johnathan Long';"
677,"Show me the name, department of employees where salary is not equal to 58122","SELECT name, department FROM users WHERE salary != 58122;"
678,"Show me the position, name, salary of employees where salary is greater than 88897","SELECT position, name, salary FROM users WHERE salary > 88897;"
679,Show me the position of employees where age is not equal to 60,SELECT position FROM users WHERE age != 60;
680,"Show me the hire_date, salary, name of employees where salary is after 65309","SELECT hire_date, salary, name FROM users WHERE salary > 65309;"
681,Show me the name of employees where department is equal to Finance,SELECT name FROM users WHERE department = 'Finance';
682,"Show me the salary, name, age of employees where position is after Manager","SELECT salary, name, age FROM users WHERE position > 'Manager';"
683,"Show me the email, department, name of employees where position is after Director","SELECT email, department, name FROM users WHERE position > 'Director';"
684,"Show me the hire_date, salary, age of employees where salary is not equal to 41772","SELECT hire_date, salary, age FROM users WHERE salary != 41772;"
685,"Show me the email, salary of employees where hire_date is greater than 2017-01-30","SELECT email, salary FROM users WHERE hire_date > '2017-01-30';"
686,"Show me the salary, department, age, position of employees where department is not equal to Finance","SELECT salary, department, age, position FROM users WHERE department != 'Finance';"
687,Show me the age of employees where name is greater than Andrew Jenkins,SELECT age FROM users WHERE name > 'Andrew Jenkins';
688,Show me the hire_date of employees where department is less than IT Support,SELECT hire_date FROM users WHERE department < 'IT Support';
689,"Show me the name, email, age, position of employees where position is equal to Specialist","SELECT name, email, age, position FROM users WHERE position = 'Specialist';"
690,"Show me the name, email, department of employees where name is after Catherine Kramer","SELECT name, email, department FROM users WHERE name > 'Catherine Kramer';"
691,"Show me the position, salary, hire_date, age of employees where salary is before 146666","SELECT position, salary, hire_date, age FROM users WHERE salary < 146666;"
692,"Show me the hire_date, department of employees where salary is equal to 121097","SELECT hire_date, department FROM users WHERE salary = 121097;"
693,"Show me the name, position, age, hire_date of employees where department is equal to Finance","SELECT name, position, age, hire_date FROM users WHERE department = 'Finance';"
694,"Show me the department, salary, position of employees where hire_date is after 2018-12-24","SELECT department, salary, position FROM users WHERE hire_date > '2018-12-24';"
695,Show me the age of employees where department is greater than HR,SELECT age FROM users WHERE department > 'HR';
696,Show me the salary of employees where salary is after 132966,SELECT salary FROM users WHERE salary > 132966;
697,Show me the name of employees where department is equal to Sales,SELECT name FROM users WHERE department = 'Sales';
698,"Show me the salary, name of employees where email is equal to Samuel Montes","SELECT salary, name FROM users WHERE email = 'Samuel Montes';"
699,"Show me the department, salary, position of employees where department is not equal to IT Support","SELECT department, salary, position FROM users WHERE department != 'IT Support';"
700,"Show me the salary, age, email, position of employees where hire_date is before 2024-12-22","SELECT salary, age, email, position FROM users WHERE hire_date < '2024-12-22';"
701,"Show me the email, position of employees where salary is before 54329","SELECT email, position FROM users WHERE salary < 54329;"
702,"Show me the department, salary of employees where hire_date is equal to 2019-09-15","SELECT department, salary FROM users WHERE hire_date = '2019-09-15';"
703,Show me the hire_date of employees where hire_date is less than 2016-09-01,SELECT hire_date FROM users WHERE hire_date < '2016-09-01';
704,"Show me the email, name, hire_date, department of employees where age is not equal to 54","SELECT email, name, hire_date, department FROM users WHERE age != 54;"
705,"Show me the hire_date, age of employees where age is after 57","SELECT hire_date, age FROM users WHERE age > 57;"
706,"Show me the age, position, name, department of employees where department is before Marketing","SELECT age, position, name, department FROM users WHERE department < 'Marketing';"
707,"Show me the salary, department, hire_date of employees where name is not equal to Justin Johnston","SELECT salary, department, hire_date FROM users WHERE name != 'Justin Johnston';"
708,"Show me the name, email, salary, hire_date of employees where email is not equal to Cole Martinez","SELECT name, email, salary, hire_date FROM users WHERE email != 'Cole Martinez';"
709,Show me the hire_date of employees where age is after 63,SELECT hire_date FROM users WHERE age > 63;
710,"Show me the position, name of employees where hire_date is equal to 2020-05-31","SELECT position, name FROM users WHERE hire_date = '2020-05-31';"
711,"Show me the salary, age, department of employees where salary is before 129986","SELECT salary, age, department FROM users WHERE salary < 129986;"
712,"Show me the name, department, position of employees where hire_date is less than 2016-02-17","SELECT name, department, position FROM users WHERE hire_date < '2016-02-17';"
713,"Show me the salary, email of employees where hire_date is less than 2021-11-08","SELECT salary, email FROM users WHERE hire_date < '2021-11-08';"
714,"Show me the age, email, department of employees where age is less than 53","SELECT age, email, department FROM users WHERE age < 53;"
715,"Show me the position, name, age of employees where department is greater than Finance","SELECT position, name, age FROM users WHERE department > 'Finance';"
716,"Show me the email, age, department of employees where hire_date is after 2021-04-21","SELECT email, age, department FROM users WHERE hire_date > '2021-04-21';"
717,"Show me the department, position of employees where age is after 31","SELECT department, position FROM users WHERE age > 31;"
718,"Show me the email, hire_date, name, position of employees where hire_date is less than 2024-12-07","SELECT email, hire_date, name, position FROM users WHERE hire_date < '2024-12-07';"
719,"Show me the email, hire_date of employees where email is greater than Christopher Pearson","SELECT email, hire_date FROM users WHERE email > 'Christopher Pearson';"
720,Show me the hire_date of employees where name is before Oscar Lopez,SELECT hire_date FROM users WHERE name < 'Oscar Lopez';
721,"Show me the department, age, name of employees where email is greater than Colin Turner","SELECT department, age, name FROM users WHERE email > 'Colin Turner';"
722,Show me the department of employees where name is less than Malik Reyes,SELECT department FROM users WHERE name < 'Malik Reyes';
723,"Show me the position, hire_date, email of employees where hire_date is not equal to 2023-10-05","SELECT position, hire_date, email FROM users WHERE hire_date != '2023-10-05';"
724,Show me the age of employees where age is not equal to 32,SELECT age FROM users WHERE age != 32;
725,Show me the email of employees where email is equal to Carmen Watson,SELECT email FROM users WHERE email = 'Carmen Watson';
726,Show me the position of employees where name is greater than Erin Stewart,SELECT position FROM users WHERE name > 'Erin Stewart';
727,"Show me the salary, position of employees where department is before IT Support","SELECT salary, position FROM users WHERE department < 'IT Support';"
728,"Show me the hire_date, salary, age of employees where department is equal to Engineering","SELECT hire_date, salary, age FROM users WHERE department = 'Engineering';"
729,"Show me the age, department of employees where name is greater than Tammy Duran","SELECT age, department FROM users WHERE name > 'Tammy Duran';"
730,"Show me the name, salary, hire_date, age of employees where name is not equal to Vanessa Marshall","SELECT name, salary, hire_date, age FROM users WHERE name != 'Vanessa Marshall';"
731,"Show me the email, age of employees where hire_date is before 2017-03-14","SELECT email, age FROM users WHERE hire_date < '2017-03-14';"
732,"Show me the position, name, department of employees where email is before Jessica Chavez","SELECT position, name, department FROM users WHERE email < 'Jessica Chavez';"
733,"Show me the hire_date, salary, position of employees where salary is not equal to 52621","SELECT hire_date, salary, position FROM users WHERE salary != 52621;"
734,Show me the hire_date of employees where hire_date is equal to 2022-08-16,SELECT hire_date FROM users WHERE hire_date = '2022-08-16';
735,Show me the name of employees where hire_date is after 2016-03-12,SELECT name FROM users WHERE hire_date > '2016-03-12';
736,"Show me the salary, hire_date, position of employees where hire_date is not equal to 2018-01-09","SELECT salary, hire_date, position FROM users WHERE hire_date != '2018-01-09';"
737,Show me the position of employees where age is after 23,SELECT position FROM users WHERE age > 23;
738,"Show me the salary, hire_date, age of employees where salary is equal to 128571","SELECT salary, hire_date, age FROM users WHERE salary = 128571;"
739,"Show me the email, salary, hire_date, name of employees where department is not equal to HR","SELECT email, salary, hire_date, name FROM users WHERE department != 'HR';"
740,"Show me the department, hire_date of employees where name is before Rhonda Preston","SELECT department, hire_date FROM users WHERE name < 'Rhonda Preston';"
741,Show me the email of employees where department is before Sales,SELECT email FROM users WHERE department < 'Sales';
742,"Show me the email, name, hire_date, age of employees where name is less than Brian Ray","SELECT email, name, hire_date, age FROM users WHERE name < 'Brian Ray';"
743,"Show me the department, name of employees where position is greater than Director","SELECT department, name FROM users WHERE position > 'Director';"
744,"Show me the department, name, salary, age of employees where email is before Jared Avila","SELECT department, name, salary, age FROM users WHERE email < 'Jared Avila';"
745,Show me the email of employees where age is after 61,SELECT email FROM users WHERE age > 61;
746,"Show me the hire_date, position, department of employees where position is equal to Director","SELECT hire_date, position, department FROM users WHERE position = 'Director';"
747,Show me the email of employees where position is after Engineer,SELECT email FROM users WHERE position > 'Engineer';
748,"Show me the department, salary of employees where email is before Elizabeth Phillips","SELECT department, salary FROM users WHERE email < 'Elizabeth Phillips';"
749,"Show me the age, email of employees where position is less than Director","SELECT age, email FROM users WHERE position < 'Director';"
750,"Show me the email, name, position, age of employees where salary is equal to 93245","SELECT email, name, position, age FROM users WHERE salary = 93245;"
751,Show me the position of employees where email is equal to Katherine Garcia DDS,SELECT position FROM users WHERE email = 'Katherine Garcia DDS';
752,"Show me the salary, position of employees where salary is equal to 145295","SELECT salary, position FROM users WHERE salary = 145295;"
753,Show me the department of employees where salary is equal to 137181,SELECT department FROM users WHERE salary = 137181;
754,"Show me the department, salary, position of employees where age is less than 32","SELECT department, salary, position FROM users WHERE age < 32;"
755,"Show me the position, department, hire_date of employees where salary is equal to 50409","SELECT position, department, hire_date FROM users WHERE salary = 50409;"
756,"Show me the age, position, department of employees where department is less than IT Support","SELECT age, position, department FROM users WHERE department < 'IT Support';"
757,Show me the position of employees where salary is greater than 126270,SELECT position FROM users WHERE salary > 126270;
758,Show me the position of employees where salary is not equal to 53123,SELECT position FROM users WHERE salary != 53123;
759,"Show me the email, position of employees where salary is before 68135","SELECT email, position FROM users WHERE salary < 68135;"
760,"Show me the age, email, hire_date of employees where hire_date is before 2020-12-03","SELECT age, email, hire_date FROM users WHERE hire_date < '2020-12-03';"
761,"Show me the email, name, position, age of employees where name is less than Jason Smith","SELECT email, name, position, age FROM users WHERE name < 'Jason Smith';"
762,"Show me the age, email, hire_date of employees where email is equal to Michael Jones","SELECT age, email, hire_date FROM users WHERE email = 'Michael Jones';"
763,"Show me the age, department, salary of employees where email is greater than Adam Cox","SELECT age, department, salary FROM users WHERE email > 'Adam Cox';"
764,"Show me the salary, hire_date of employees where position is before Director","SELECT salary, hire_date FROM users WHERE position < 'Director';"
765,"Show me the email, department, age, salary of employees where email is before Marc Shaw","SELECT email, department, age, salary FROM users WHERE email < 'Marc Shaw';"
766,"Show me the hire_date, email, name of employees where position is after Specialist","SELECT hire_date, email, name FROM users WHERE position > 'Specialist';"
767,Show me the age of employees where salary is less than 116539,SELECT age FROM users WHERE salary < 116539;
768,Show me the age of employees where name is equal to Brian Delacruz,SELECT age FROM users WHERE name = 'Brian Delacruz';
769,"Show me the name, salary, department, hire_date of employees where name is after Gabriel Howard","SELECT name, salary, department, hire_date FROM users WHERE name > 'Gabriel Howard';"
770,"Show me the salary, department, email of employees where hire_date is after 2015-11-14","SELECT salary, department, email FROM users WHERE hire_date > '2015-11-14';"
771,"Show me the position, name, department of employees where hire_date is not equal to 2016-01-29","SELECT position, name, department FROM users WHERE hire_date != '2016-01-29';"
772,"Show me the name, department of employees where age is not equal to 48","SELECT name, department FROM users WHERE age != 48;"
773,"Show me the position, name of employees where position is before Coordinator","SELECT position, name FROM users WHERE position < 'Coordinator';"
774,"Show me the position, hire_date, department of employees where age is greater than 25","SELECT position, hire_date, department FROM users WHERE age > 25;"
775,"Show me the hire_date, name of employees where salary is greater than 102715","SELECT hire_date, name FROM users WHERE salary > 102715;"
776,Show me the email of employees where email is not equal to Allison Kennedy,SELECT email FROM users WHERE email != 'Allison Kennedy';
777,"Show me the email, department of employees where hire_date is not equal to 2022-02-28","SELECT email, department FROM users WHERE hire_date != '2022-02-28';"
778,"Show me the department, salary, name of employees where salary is before 63446","SELECT department, salary, name FROM users WHERE salary < 63446;"
779,"Show me the position, hire_date, email of employees where position is less than Manager","SELECT position, hire_date, email FROM users WHERE position < 'Manager';"
780,Show me the position of employees where salary is after 49938,SELECT position FROM users WHERE salary > 49938;
781,"Show me the department, name of employees where name is after Debbie Gonzales","SELECT department, name FROM users WHERE name > 'Debbie Gonzales';"
782,"Show me the position, email, hire_date, department of employees where email is not equal to Chad Anderson","SELECT position, email, hire_date, department FROM users WHERE email != 'Chad Anderson';"
783,Show me the department of employees where position is equal to Manager,SELECT department FROM users WHERE position = 'Manager';
784,"Show me the department, hire_date, position, salary of employees where department is equal to Marketing","SELECT department, hire_date, position, salary FROM users WHERE department = 'Marketing';"
785,"Show me the hire_date, email, position, salary of employees where department is equal to Marketing","SELECT hire_date, email, position, salary FROM users WHERE department = 'Marketing';"
786,"Show me the hire_date, position, age of employees where name is not equal to Kevin Hernandez","SELECT hire_date, position, age FROM users WHERE name != 'Kevin Hernandez';"
787,"Show me the department, name, age, position of employees where hire_date is after 2020-08-07","SELECT department, name, age, position FROM users WHERE hire_date > '2020-08-07';"
788,"Show me the name, hire_date, email, department of employees where department is not equal to Marketing","SELECT name, hire_date, email, department FROM users WHERE department != 'Marketing';"
789,"Show me the name, salary, age of employees where department is equal to Sales","SELECT name, salary, age FROM users WHERE department = 'Sales';"
790,"Show me the department, email, position, salary of employees where email is not equal to Nancy Swanson","SELECT department, email, position, salary FROM users WHERE email != 'Nancy Swanson';"
791,"Show me the salary, email of employees where email is not equal to Amanda Keith","SELECT salary, email FROM users WHERE email != 'Amanda Keith';"
792,"Show me the age, department, hire_date of employees where name is not equal to Joe Olson","SELECT age, department, hire_date FROM users WHERE name != 'Joe Olson';"
793,Show me the hire_date of employees where name is before Sara Hicks,SELECT hire_date FROM users WHERE name < 'Sara Hicks';
794,"Show me the department, hire_date of employees where department is before Marketing","SELECT department, hire_date FROM users WHERE department < 'Marketing';"
795,"Show me the department, hire_date, position, name of employees where age is greater than 62","SELECT department, hire_date, position, name FROM users WHERE age > 62;"
796,"Show me the position, email, age of employees where department is less than HR","SELECT position, email, age FROM users WHERE department < 'HR';"
797,"Show me the email, department, hire_date, age of employees where department is equal to Sales","SELECT email, department, hire_date, age FROM users WHERE department = 'Sales';"
798,Show me the age of employees where position is greater than Manager,SELECT age FROM users WHERE position > 'Manager';
799,"Show me the age, hire_date, position, name of employees where name is greater than Suzanne Williams","SELECT age, hire_date, position, name FROM users WHERE name > 'Suzanne Williams';"
800,"Show me the email, hire_date, name, position of employees where email is before Phillip Goodman","SELECT email, hire_date, name, position FROM users WHERE email < 'Phillip Goodman';"
801,Show me the name of employees where age is after 37,SELECT name FROM users WHERE age > 37;
802,Show me the salary of employees where email is after Luke Meyer,SELECT salary FROM users WHERE email > 'Luke Meyer';
803,"Show me the age, name of employees where age is not equal to 45","SELECT age, name FROM users WHERE age != 45;"
804,"Show me the name, department, hire_date of employees where age is less than 65","SELECT name, department, hire_date FROM users WHERE age < 65;"
805,"Show me the age, department, hire_date of employees where name is after James Green","SELECT age, department, hire_date FROM users WHERE name > 'James Green';"
806,"Show me the hire_date, name, department of employees where salary is after 116233","SELECT hire_date, name, department FROM users WHERE salary > 116233;"
807,"Show me the email, hire_date of employees where age is after 41","SELECT email, hire_date FROM users WHERE age > 41;"
808,"Show me the department, hire_date, position of employees where name is after Katelyn Valenzuela","SELECT department, hire_date, position FROM users WHERE name > 'Katelyn Valenzuela';"
809,"Show me the name, age, salary of employees where salary is greater than 147679","SELECT name, age, salary FROM users WHERE salary > 147679;"
810,"Show me the name, email of employees where age is equal to 51","SELECT name, email FROM users WHERE age = 51;"
811,Show me the email of employees where salary is less than 67424,SELECT email FROM users WHERE salary < 67424;
812,"Show me the hire_date, department of employees where hire_date is before 2017-04-21","SELECT hire_date, department FROM users WHERE hire_date < '2017-04-21';"
813,"Show me the position, email, age of employees where department is greater than Marketing","SELECT position, email, age FROM users WHERE department > 'Marketing';"
814,"Show me the salary, email of employees where hire_date is greater than 2019-01-07","SELECT salary, email FROM users WHERE hire_date > '2019-01-07';"
815,"Show me the hire_date, age, salary of employees where age is before 29","SELECT hire_date, age, salary FROM users WHERE age < 29;"
816,"Show me the age, hire_date of employees where salary is after 84447","SELECT age, hire_date FROM users WHERE salary > 84447;"
817,Show me the salary of employees where salary is less than 143329,SELECT salary FROM users WHERE salary < 143329;
818,"Show me the position, salary, age of employees where position is equal to Specialist","SELECT position, salary, age FROM users WHERE position = 'Specialist';"
819,"Show me the position, name, salary of employees where email is after Adam Davis","SELECT position, name, salary FROM users WHERE email > 'Adam Davis';"
820,"Show me the email, hire_date, department, age of employees where name is equal to Tammy Ward","SELECT email, hire_date, department, age FROM users WHERE name = 'Tammy Ward';"
821,"Show me the name, salary, department, hire_date of employees where email is less than Janet Armstrong","SELECT name, salary, department, hire_date FROM users WHERE email < 'Janet Armstrong';"
822,"Show me the hire_date, name of employees where name is less than William Williams","SELECT hire_date, name FROM users WHERE name < 'William Williams';"
823,Show me the salary of employees where salary is greater than 127546,SELECT salary FROM users WHERE salary > 127546;
824,Show me the email of employees where email is less than William Murray,SELECT email FROM users WHERE email < 'William Murray';
825,"Show me the email, salary of employees where name is not equal to Dawn House","SELECT email, salary FROM users WHERE name != 'Dawn House';"
826,"Show me the name, email, position, salary of employees where salary is less than 57772","SELECT name, email, position, salary FROM users WHERE salary < 57772;"
827,"Show me the position, email, age of employees where salary is less than 73264","SELECT position, email, age FROM users WHERE salary < 73264;"
828,"Show me the position, name, hire_date of employees where salary is after 72407","SELECT position, name, hire_date FROM users WHERE salary > 72407;"
829,"Show me the department, name of employees where hire_date is before 2022-07-28","SELECT department, name FROM users WHERE hire_date < '2022-07-28';"
830,"Show me the hire_date, salary, age of employees where age is before 25","SELECT hire_date, salary, age FROM users WHERE age < 25;"
831,"Show me the department, position, hire_date of employees where email is less than Robert Wright","SELECT department, position, hire_date FROM users WHERE email < 'Robert Wright';"
832,"Show me the name, email, department of employees where salary is not equal to 42821","SELECT name, email, department FROM users WHERE salary != 42821;"
833,"Show me the department, position, name, salary of employees where salary is before 116945","SELECT department, position, name, salary FROM users WHERE salary < 116945;"
834,"Show me the salary, email, position of employees where department is greater than Marketing","SELECT salary, email, position FROM users WHERE department > 'Marketing';"
835,"Show me the position, email, name of employees where email is equal to Gregory Nguyen","SELECT position, email, name FROM users WHERE email = 'Gregory Nguyen';"
836,"Show me the department, position of employees where name is before Jennifer Jones","SELECT department, position FROM users WHERE name < 'Jennifer Jones';"
837,"Show me the department, position, age of employees where hire_date is after 2023-10-20","SELECT department, position, age FROM users WHERE hire_date > '2023-10-20';"
838,"Show me the salary, email, age, hire_date of employees where department is equal to Engineering","SELECT salary, email, age, hire_date FROM users WHERE department = 'Engineering';"
839,"Show me the hire_date, name, salary, email of employees where position is less than Specialist","SELECT hire_date, name, salary, email FROM users WHERE position < 'Specialist';"
840,"Show me the department, position of employees where position is after Engineer","SELECT department, position FROM users WHERE position > 'Engineer';"
841,"Show me the position, salary, hire_date, department of employees where department is before IT Support","SELECT position, salary, hire_date, department FROM users WHERE department < 'IT Support';"
842,"Show me the age, hire_date, email of employees where age is equal to 32","SELECT age, hire_date, email FROM users WHERE age = 32;"
843,Show me the hire_date of employees where name is after Todd Benton,SELECT hire_date FROM users WHERE name > 'Todd Benton';
844,"Show me the email, position of employees where hire_date is not equal to 2015-08-05","SELECT email, position FROM users WHERE hire_date != '2015-08-05';"
845,"Show me the hire_date, salary of employees where hire_date is equal to 2024-09-16","SELECT hire_date, salary FROM users WHERE hire_date = '2024-09-16';"
846,"Show me the department, name, salary of employees where name is before Lisa Shaw","SELECT department, name, salary FROM users WHERE name < 'Lisa Shaw';"
847,"Show me the name, email of employees where hire_date is equal to 2021-06-21","SELECT name, email FROM users WHERE hire_date = '2021-06-21';"
848,"Show me the name, age of employees where position is greater than Engineer","SELECT name, age FROM users WHERE position > 'Engineer';"
849,Show me the department of employees where position is equal to Director,SELECT department FROM users WHERE position = 'Director';
850,"Show me the department, salary, hire_date, position of employees where salary is not equal to 130074","SELECT department, salary, hire_date, position FROM users WHERE salary != 130074;"
851,"Show me the department, salary, hire_date, email of employees where salary is not equal to 131510","SELECT department, salary, hire_date, email FROM users WHERE salary != 131510;"
852,Show me the email of employees where hire_date is less than 2022-02-25,SELECT email FROM users WHERE hire_date < '2022-02-25';
853,"Show me the email, salary, hire_date, age of employees where position is greater than Specialist","SELECT email, salary, hire_date, age FROM users WHERE position > 'Specialist';"
854,"Show me the hire_date, salary of employees where name is equal to Richard Clark","SELECT hire_date, salary FROM users WHERE name = 'Richard Clark';"
855,"Show me the email, age of employees where salary is after 91432","SELECT email, age FROM users WHERE salary > 91432;"
856,"Show me the department, name of employees where hire_date is not equal to 2019-11-17","SELECT department, name FROM users WHERE hire_date != '2019-11-17';"
857,"Show me the name, age, email of employees where hire_date is equal to 2024-08-27","SELECT name, age, email FROM users WHERE hire_date = '2024-08-27';"
858,"Show me the email, salary, name of employees where position is not equal to Specialist","SELECT email, salary, name FROM users WHERE position != 'Specialist';"
859,"Show me the age, salary, name, email of employees where salary is less than 61685","SELECT age, salary, name, email FROM users WHERE salary < 61685;"
860,"Show me the email, hire_date, salary, position of employees where name is after Edgar Lewis","SELECT email, hire_date, salary, position FROM users WHERE name > 'Edgar Lewis';"
861,Show me the hire_date of employees where age is before 42,SELECT hire_date FROM users WHERE age < 42;
862,Show me the salary of employees where age is not equal to 29,SELECT salary FROM users WHERE age != 29;
863,Show me the age of employees where email is greater than Joshua Lee,SELECT age FROM users WHERE email > 'Joshua Lee';
864,Show me the position of employees where name is not equal to Dawn Welch,SELECT position FROM users WHERE name != 'Dawn Welch';
865,Show me the department of employees where department is after IT Support,SELECT department FROM users WHERE department > 'IT Support';
866,"Show me the position, salary of employees where department is less than Marketing","SELECT position, salary FROM users WHERE department < 'Marketing';"
867,Show me the position of employees where hire_date is not equal to 2016-04-29,SELECT position FROM users WHERE hire_date != '2016-04-29';
868,"Show me the name, salary, age of employees where hire_date is less than 2019-01-27","SELECT name, salary, age FROM users WHERE hire_date < '2019-01-27';"
869,Show me the position of employees where hire_date is greater than 2019-04-26,SELECT position FROM users WHERE hire_date > '2019-04-26';
870,"Show me the age, department of employees where email is greater than Maria Mckay","SELECT age, department FROM users WHERE email > 'Maria Mckay';"
871,"Show me the hire_date, name, age of employees where position is greater than Director","SELECT hire_date, name, age FROM users WHERE position > 'Director';"
872,Show me the department of employees where salary is less than 74448,SELECT department FROM users WHERE salary < 74448;
873,"Show me the name, position of employees where name is before Heather Robinson","SELECT name, position FROM users WHERE name < 'Heather Robinson';"
874,"Show me the email, hire_date, salary of employees where age is greater than 36","SELECT email, hire_date, salary FROM users WHERE age > 36;"
875,Show me the department of employees where position is before Coordinator,SELECT department FROM users WHERE position < 'Coordinator';
876,"Show me the age, hire_date of employees where name is before Michael Brown","SELECT age, hire_date FROM users WHERE name < 'Michael Brown';"
877,"Show me the email, department of employees where hire_date is before 2017-12-01","SELECT email, department FROM users WHERE hire_date < '2017-12-01';"
878,"Show me the department, hire_date, position, email of employees where email is not equal to Stephen Lawson","SELECT department, hire_date, position, email FROM users WHERE email != 'Stephen Lawson';"
879,"Show me the department, email, age, name of employees where age is after 46","SELECT department, email, age, name FROM users WHERE age > 46;"
880,"Show me the position, email, department of employees where email is after David Morris","SELECT position, email, department FROM users WHERE email > 'David Morris';"
881,"Show me the hire_date, email, department of employees where position is greater than Manager","SELECT hire_date, email, department FROM users WHERE position > 'Manager';"
882,"Show me the hire_date, salary, position, department of employees where hire_date is greater than 2022-11-28","SELECT hire_date, salary, position, department FROM users WHERE hire_date > '2022-11-28';"
883,"Show me the department, age of employees where position is equal to Coordinator","SELECT department, age FROM users WHERE position = 'Coordinator';"
884,"Show me the name, department, position of employees where age is less than 31","SELECT name, department, position FROM users WHERE age < 31;"
885,"Show me the email, salary of employees where age is equal to 41","SELECT email, salary FROM users WHERE age = 41;"
886,"Show me the email, hire_date, department, name of employees where age is greater than 62","SELECT email, hire_date, department, name FROM users WHERE age > 62;"
887,"Show me the email, salary, age of employees where age is after 30","SELECT email, salary, age FROM users WHERE age > 30;"
888,"Show me the name, department of employees where position is after Engineer","SELECT name, department FROM users WHERE position > 'Engineer';"
889,"Show me the position, department, email of employees where age is before 34","SELECT position, department, email FROM users WHERE age < 34;"
890,"Show me the hire_date, department, age of employees where salary is greater than 125157","SELECT hire_date, department, age FROM users WHERE salary > 125157;"
891,"Show me the department, name, salary of employees where age is greater than 35","SELECT department, name, salary FROM users WHERE age > 35;"
892,"Show me the salary, email, age of employees where age is before 59","SELECT salary, email, age FROM users WHERE age < 59;"
893,"Show me the salary, age, hire_date of employees where salary is less than 144319","SELECT salary, age, hire_date FROM users WHERE salary < 144319;"
894,"Show me the age, department of employees where name is after David Stevenson","SELECT age, department FROM users WHERE name > 'David Stevenson';"
895,Show me the name of employees where email is not equal to Melissa Davis,SELECT name FROM users WHERE email != 'Melissa Davis';
